Prefecture,65Years,,,66Years,,,67Years,,,68Years,,,69Years,,,70Years,,,71Years,,,72Years,,,73Years,,,74Years,,,75Years,,,76Years,,,77Years,,,78Years,,,79Years,,,80Years,,,81Years,,,82Years,,,83Years,,,84Years,,,85Years,,,86Years,,,87Years,,,88Years,,,89Years,,,90Years,,,91Years,,,92Years,,,93Years,,,94Years,,,95Years,,,96Years,,,97Years,,,98Years,,,99Years,,,100Years,,,101Years,,,102Years,,,103Years,,,104Years,,,105Years,,,106Years,,,107Years,,,108Years,,,109Years,,,110Years,,,111Years,,,112Years,,,113Years,,,114Years,,,115Years,,,Unspecified,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female
Total,10708,7439,3269,11781,8300,3481,13409,9321,4088,15686,10895,4791,17942,12402,5540,20939,14593,6346,25117,17379,7738,29183,20127,9056,31407,21369,10038,29170,19585,9585,21714,14387,7327,26996,17617,9379,33990,21982,12008,35721,22776,12945,40450,25486,14964,42569,26198,16371,41215,24992,16223,40954,23938,17016,48252,27710,20542,52195,29255,22940,56484,30330,26154,56905,29634,27271,57414,28533,28881,61274,28834,32440,60287,27096,33191,59534,25202,34332,56061,21888,34173,54125,19619,34506,49592,16907,32685,44871,14110,30761,39978,11457,28521,32245,8260,23985,26047,5930,20117,20136,3912,16224,15629,2734,12895,11958,1852,10106,8324,1229,7095,5054,698,4356,3543,464,3079,2181,269,1912,1407,131,1276,817,74,743,478,42,436,272,21,251,117,2,115,63,5,58,27,-,27,18,-,18,1,-,1,1,-,1,1,-,1,427,325,102
